,Feature,shap_con,lime_con,logit_coef
0,limit_bal,0.08100196079928637,-0.02363054269229724,-0.11986000520514362
1,sex,-0.03138408769104995,0.006329744672588473,0.07298625044430221
2,age,-0.06331681387566698,0.008596142711557987,0.03996726135472306
3,pay_Sep,1.4137330157912689,0.11816143425463874,0.5140847330150069
4,pay_Aug,0.1226986242932775,0.015383454988360447,0.06196900216832197
5,pay_Jul,0.11183575814975193,0.014230703068350673,0.0588609253419747
6,pay_Jun,0.07093042680701056,0.008717239972996121,0.035823447882328566
7,pay_May,0.020189418831098368,0.0017842558770868103,0.009218912708264096
8,pay_Apr,0.007459789013887899,-3.544379450276728e-05,0.0033451968672143046
9,bill_amt_Sep,-0.009996592706445017,-0.06637363750954826,-0.3401382115606701
10,bill_amt_Aug,0.0001404874612333341,0.00117444579367457,0.004730322357546949
11,bill_amt_Jul,0.005329142737175587,0.03849860131249072,0.19322102961479218
12,bill_amt_Jun,0.012844274272840881,-0.01136381551771856,-0.05775746534910319
13,bill_amt_May,-0.016687277326080455,0.009283556002465438,0.04787889239402016
14,bill_amt_Apr,-0.008667841774083054,0.005544441539200214,0.03143054309018389
15,pay_amt_Sep,0.043935900203931434,-0.03926661713332085,-0.2049547816329468
16,pay_amt_Aug,0.016959166141324027,-0.06546059573383695,-0.37111289786553087
17,pay_amt_Jul,0.005189618872027855,-0.004371200275266258,-0.021781483347204905
18,pay_amt_Jun,0.028669005416406046,-0.017851282261981006,-0.09263292088588083
19,pay_amt_May,0.00471418270978658,-0.008376730637131295,-0.04102498420087532
20,pay_amt_Apr,0.02035463611061767,-0.010933747775015153,-0.06066955872681911
21,education_graduate school,-0.41304638491919055,0.10754670416154785,1.1473510692199738
22,education_high school,-0.16995551552611282,0.06820169486624161,0.9441973084784046
23,education_university,0.5939356623434875,0.10414693235326337,1.0605993970419418
24,marriage_married,-0.12946378926021324,0.02672985694587519,0.28144302013089834
25,marriage_single,0.051756303628723646,0.010163084699801603,0.11011979495473116
