,Feature,shap_con,lime_con
0,limit_bal,0.05499938249184197,-0.02285528543755648
1,sex,-0.006477871571296419,0.0002940972114209735
2,age,-0.12003699307200805,0.0011689892877553543
3,pay_Sep,0.7335416541824816,0.06461655002271766
4,pay_Aug,0.21224487832823796,0.01826295648058713
5,pay_Jul,0.12501016979229462,0.01717333983718228
6,pay_Jun,0.11233758675406534,0.01370744941575125
7,pay_May,0.16190242904127444,0.007571283028412753
8,pay_Apr,0.06668052454646385,0.009504737765107199
9,bill_amt_Sep,0.033071008458919096,0.00229061144333438
10,bill_amt_Aug,-0.0241075501312298,0.002408640865700986
11,bill_amt_Jul,-0.001005815073422127,0.002916804596891951
12,bill_amt_Jun,0.003178503989465753,-0.0003625455571361911
13,bill_amt_May,-0.01050573191075273,-0.0009599258665315593
14,bill_amt_Apr,0.008808328040995548,0.003622756757198522
15,pay_amt_Sep,0.03450439435117914,-0.01392961945326452
16,pay_amt_Aug,-0.02117788333844146,-0.014093044349428775
17,pay_amt_Jul,0.031678398400372315,-0.01086234229820769
18,pay_amt_Jun,0.025945473347364897,-0.0030981037575759924
19,pay_amt_May,0.01956448834394905,-0.0037966978969510277
20,pay_amt_Apr,0.036703634116602185,-0.008742358861701946
21,education_graduate school,-0.0026014626815504018,0.0013756946756956776
22,education_high school,0.005240294781024204,0.0002341084212274035
23,education_university,0.003678948516944729,0.0011599407989917152
24,marriage_married,-0.010075356828383519,0.0018866704814329478
25,marriage_single,-0.0033212849568917593,-0.001717768089024444
