,Feature,shap_con,lime_con
0,limit_bal,0.015071816246252184,-0.02184536415639551
1,sex,-0.0002684069078759421,-0.0009323061361442693
2,age,-0.01762634988611012,-0.001540671367406176
3,pay_Sep,0.16832828295934746,0.050645711025106226
4,pay_Aug,0.07735468068067121,0.015991807758098775
5,pay_Jul,0.030099157233662764,0.014603526353656967
6,pay_Jun,0.03697742326095067,0.008197855604869504
7,pay_May,0.031308572656951125,0.007906004348417312
8,pay_Apr,0.021444949360485452,0.01013253021207135
9,bill_amt_Sep,0.0048265531230697436,0.005489820423964457
10,bill_amt_Aug,0.0038140804638624104,0.006750967968007092
11,bill_amt_Jul,0.006445970537054108,0.00030847001404756935
12,bill_amt_Jun,0.008308519322906705,0.0004021915567345401
13,bill_amt_May,0.003947582844738236,-9.869593363735658e-05
14,bill_amt_Apr,0.011004751243509645,0.003303813708226963
15,pay_amt_Sep,0.005256915433764106,-0.018482311950636383
16,pay_amt_Aug,-0.001444339165303745,-0.02054199798672214
17,pay_amt_Jul,0.006133317638248172,-0.015385072790359198
18,pay_amt_Jun,0.002036618627497546,-0.008145865384585244
19,pay_amt_May,0.0038577017235388667,-0.007354782795914848
20,pay_amt_Apr,0.006364085881234587,-0.010504690426202999
21,education_graduate school,0.00016880944336094216,-0.00018165268385764293
22,education_high school,0.0009336605750354466,-8.226383106975033e-05
23,education_university,0.00031455686921049163,0.0010276975953933205
24,marriage_married,0.00014298219522061118,-0.00014178782336398763
25,marriage_single,-0.00030376241298881725,-0.002206261855385468
